Diet,SurvDays
40,1611
40,1557
40,1533
40,1520
40,1638
40,1406
40,1463
40,1541
40,1533
20,1445
40,1445
40,1406
40,1504
40,1477
40,1465
40,1301
40,1280
20,1354
20,1352
20,1266
40,1266
40,1344
40,1240
2D,1259
20,1224
40,1228
40,1280
20,1273
2D,1199
2D,1194
20,1182
20,1242
40,1540
2D,1151
40,1149
40,1230
40,1140
20,1137
40,1220
40,1156
40,1210
40,1323
20,1114
20,1114
40,1113
2D,1195
AL,1293
2D,1121
1D,1099
40,1120
20,1118
AL,1085
2D,1083
20,1284
20,1283
20,1080
40,1262
20,1259
1D,1097
2D,1076
AL,1097
40,1158
1D,1154
AL,1174
20,1249
2D,1151
2D,1067
40,1086
40,1144
40,1143
40,1429
40,1141
2D,1077
20,1252
2D,1133
40,1133
40,1070
1D,1066
1D,1147
AL,1060
40,1140
20,1216
20,1034
40,1403
40,1134
2D,1028
2D,1206
1D,1042
2D,1042
1D,1040
1D,1019
20,1102
40,1221
40,1491
2D,1032
40,1189
20,1109
2D,1108
40,1478
20,1021
40,1370
40,1098
20,1093
20,1168
20,1070
20,1374
20,1000
2D,1160
20,1362
1D,1081
40,1155
AL,973
1D,989
1D,968
2D,989
AL,989
2D,1051
AL,1051
2D,1146
1D,980
20,980
2D,1043
40,1432
AL,1138
1D,1060
2D,952
1D,950
40,1132
40,945
20,964
40,1328
2D,1043
40,1043
AL,1022
2D,1020
AL,1117
1D,1116
40,1521
AL,954
AL,1111
1D,1011
2D,1011
1D,1010
AL,1031
40,1310
20,1315
40,1399
20,943
1D,1123
1D,940
20,938
40,938
AL,938
40,1000
1D,1020
AL,1020
AL,936
20,1408
1D,1092
2D,910
AL,1092
20,930
40,1014
AL,993
2D,1011
20,923
AL,923
2D,1082
1D,983
20,983
1D,1080
AL,1002
AL,1002
40,1078
AL,980
1D,895
20,895
2D,1000
1D,1097
20,1283
40,1479
20,1091
40,1070
20,986
20,881
40,986
AL,881
AL,877
20,1464
20,979
2D,1238
1D,871
2D,1368
1D,1052
20,953
AL,869
2D,1070
20,970
1D,1246
1D,861
1D,881
1D,857
2D,962
AL,1058
AL,855
20,1057
20,1036
1D,1224
1D,1224
20,850
2D,1032
1D,954
20,1325
2D,953
20,847
1D,1047
2D,1047
40,1047
40,1047
AL,1046
20,1024
2D,1206
20,1022
1D,944
2D,944
20,1311
20,1218
2D,1204
1D,937
1D,853
AL,916
AL,832
1D,1031
40,1325
2D,1009
1D,822
2D,923
40,818
AL,902
40,1018
AL,997
1D,1199
40,919
20,895
2D,1287
40,916
2D,810
2D,1011
20,825
2D,1189
2D,888
40,909
AL,1007
AL,909
20,1277
1D,982
2D,982
1D,799
20,1294
2D,902
2D,797
AL,881
1D,794
1D,897
40,876
20,1379
20,1183
AL,994
1D,895
20,874
2D,874
20,891
2D,883
40,1387
40,777
20,954
20,772
40,877
20,1141
1D,790
40,1150
40,1134
40,1134
40,966
2D,965
40,783
AL,867
20,962
40,1143
1D,960
AL,1254
40,1232
40,1137
40,1137
20,771
2D,1247
AL,1246
1D,832
2D,1133
2D,766
1D,926
1D,744
20,847
1D,846
1D,825
40,825
40,762
40,762
20,920
20,939
20,1344
AL,938
AL,735
40,1322
AL,755
1D,909
1D,909
20,832
2D,811
2D,1221
2D,724
2D,1093
2D,721
40,721
1D,1105
20,923
20,902
1D,717
40,1085
40,714
AL,714
2D,1301
AL,818
1D,911
20,1079
1D,790
40,706
40,1309
2D,881
2D,1173
2D,1173
AL,1080
2D,714
2D,1278
40,1058
1D,770
1D,1159
AL,703
20,860
2D,1154
AL,881
20,1262
AL,877
20,1148
40,1057
AL,854
1D,776
40,776
2D,1277
1D,870
20,870
AL,667
40,1051
20,686
AL,686
1D,748
20,748
20,664
2D,769
AL,769
2D,1025
2D,744
AL,863
AL,660
1D,741
1D,741
20,762
AL,1028
2D,1263
2D,835
20,1044
2D,1016
40,1023
AL,671
2D,829
1D,1017
1D,1017
2D,848
2D,729
2D,644
2D,644
40,847
1D,748
20,1119
AL,1028
AL,664
AL,746
40,1137
20,842
40,1009
AL,1023
20,1240
1D,1126
1D,1126
1D,832
1D,811
AL,811
20,732
2D,807
1D,1009
20,1016
1D,1119
1D,993
2D,1210
2D,825
40,1007
40,727
40,1002
2D,615
1D,1199
1D,814
2D,996
AL,813
AL,715
AL,1197
AL,630
1D,979
20,1084
20,709
20,974
1D,1099
1D,1098
1D,1077
40,1077
AL,706
1D,703
AL,779
40,701
1D,1183
40,1181
20,1088
20,591
1D,974
20,960
1D,1085
1D,1064
1D,588
20,1064
20,1064
2D,672
AL,1197
AL,672
AL,609
2D,958
AL,958
AL,765
40,1079
2D,1190
40,1190
1D,951
1D,685
20,972
1D,1053
40,1052
1D,658
1D,595
40,595
1D,594
2D,1070
2D,755
2D,1044
1D,587
40,1154
1D,948
20,1060
2D,668
1D,1150
AL,764
20,1036
20,931
1D,1166
2D,738
2D,577
40,661
40,1141
AL,1140
AL,937
2D,1025
AL,1025
AL,752
1D,751
40,1044
1D,1022
20,1155
2D,1039
1D,723
2D,744
2D,744
40,723
20,644
40,1127
2D,741
AL,640
1D,1007
1D,551
1D,897
1D,706
1D,544
AL,999
AL,607
40,1129
20,720
2D,720
40,622
AL,902
AL,538
20,904
1D,1098
20,1097
AL,891
1D,686
20,1109
20,1109
2D,885
20,680
1D,994
2D,973
40,973
AL,994
20,578
40,695
20,965
20,860
2D,1077
2D,510
AL,594
AL,489
AL,963
1D,485
1D,855
1D,958
20,566
AL,958
AL,853
2D,584
AL,477
1D,559
40,1084
1D,855
1D,945
2D,672
1D,552
20,552
2D,552
AL,573
1D,667
2D,827
1D,937
2D,664
2D,566
AL,545
20,955
AL,934
40,1066
20,827
20,1064
1D,951
2D,839
40,930
AL,839
AL,654
20,632
AL,632
20,946
2D,834
20,468
2D,944
2D,447
1D,646
1D,625
AL,646
40,440
AL,811
2D,913
2D,913
1D,1024
AL,1023
1D,1042
20,825
20,636
40,804
2D,1020
20,535
2D,430
40,799
1D,903
40,903
2D,1035
2D,1035
40,1014
AL,1035
AL,1014
AL,902
AL,510
20,1008
20,1028
20,1007
20,895
40,1007
AL,1028
2D,781
AL,500
2D,891
2D,617
1D,413
2D,434
1D,1000
1D,888
2D,783
2D,615
AL,1021
AL,496
1D,904
1D,792
40,993
AL,776
AL,608
1D,773
20,602
2D,769
40,874
40,783
AL,986
40,415
AL,597
1D,979
1D,867
20,762
2D,755
AL,774
20,885
2D,885
40,884
40,772
AL,569
20,778
20,882
20,468
2D,881
2D,769
20,402
2D,875
40,748
40,748
AL,874
AL,762
20,555
20,575
40,868
40,846
40,741
AL,755
AL,475
2D,864
20,757
20,973
2D,545
AL,734
2D,948
20,359
AL,743
2D,461
40,741
AL,963
AL,850
1D,849
20,534
AL,534
1D,826
20,847
AL,826
1D,720
2D,958
2D,958
AL,846
AL,846
AL,345
AL,728
2D,951
2D,361
AL,708
20,706
20,419
AL,706
1D,716
1D,716
20,330
AL,330
1D,938
20,434
20,434
AL,938
1D,822
2D,689
AL,695
20,694
2D,343
40,504
40,797
2D,703
1D,520
1D,925
1D,498
1D,337
40,812
40,791
40,923
AL,902
2D,785
20,784
AL,506
2D,505
40,888
40,797
2D,773
1D,399
2D,377
2D,787
40,878
20,898
AL,287
1D,895
AL,653
1D,666
20,888
20,300
20,477
1D,658
40,356
2D,653
AL,877
40,762
AL,349
2D,850
2D,846
20,843
2D,843
2D,638
20,749
AL,749
20,727
AL,622
AL,723
1D,834
AL,631
20,741
40,853
40,853
40,426
1D,421
AL,610
2D,259
AL,714
20,825
2D,825
2D,734
AL,825
20,436
AL,317
2D,840
2D,819
2D,728
AL,840
AL,727
20,814
1D,812
2D,608
AL,696
AL,696
20,827
2D,589
40,713
AL,825
AL,825
2D,800
40,415
AL,687
40,707
2D,314
20,575
2D,589
40,575
1D,811
1D,790
2D,384
AL,678
20,567
40,804
2D,668
AL,374
1D,394
AL,688
20,582
AL,685
1D,568
1D,267
2D,568
20,675
1D,380
AL,561
40,644
2D,771
20,532
1D,748
1D,651
1D,525
AL,741
20,738
40,353
AL,332
AL,755
1D,730
40,750
1D,615
1D,244
40,727
AL,510
20,723
40,338
1D,504
20,630
AL,720
AL,720
2D,310
2D,603
AL,603
1D,207
20,732
2D,706
AL,609
AL,196
40,720
AL,491
20,595
1D,682
2D,703
AL,463
1D,288
AL,672
40,688
2D,665
AL,442
1D,675
40,654
2D,652
AL,561
40,266
AL,560
AL,539
1D,671
1D,447
1D,666
40,442
1D,664
20,643
2D,525
AL,657
AL,636
2D,539
AL,650
AL,629
20,219
1D,218
2D,622
2D,233
AL,608
40,386
1D,490
40,190
1D,595
20,616
AL,184
40,183
20,588
40,494
2D,601
20,349
20,469
2D,575
40,574
20,531
2D,307
1D,310
1D,546
20,413
1D,295
1D,303
20,287
40,413
1D,412
20,281
AL,384
1D,274
AL,394
2D,504
20,379
20,490
AL,371
2D,225
1D,469
AL,437
1D,232
2D,232
40,426
40,335
2D,440
2D,321
2D,204
1D,301
20,406
1D,252
AL,349
1D,244
20,206
